region,cui,nombre_pip,funcion,division_funcional,grupo_funcional,sector_responsable,brechas,opmi,uf,uei,uep,gps,departamento,provincia,distrito,centro_poblado
madre de dios,2235404,"MEJORAMIENTO DE LOS SERVICIOS EDUCATIVOS DE NIVEL INICIAL DE LA I.E. N 345 BOCA MANU, DISTRITO DE FITZCARRALD, PROVINCIA DE MANU, REGI‡N DE MADRE DE DIOS",EDUCACI‡N,EDUCACI‡N BµSICA,EDUCACI‡N INICIAL,EDUCACION,"SERVICIO DE EDUCACI‡N INICIAL
                                
                                
                                    PORCENTAJE DE UNIDADES PRODUCTORAS CON EL SERVICIO DE EDUCACI‡N INICIAL CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    LOCAL EDUCATIVO
                                
                                
                                    DISTRITAL
                                
                                
                                    1",OPMI DEL GOBIERNO REGIONAL MADRE DE DIOS,SUB-REGION MANU (UFSRMANUMD - DANTE AGUIRRE GOMEZ),UEI 1392 SUB REGION MANU - (UEISRMANU - ANTONIO GIL DEL AGUILA  TAFUR),1392 - GOB.REG. MADRE DEDIOS - SUB REGION MANU,-11.7456506099999260 / -72.38892419999996,MADRE DE DIOS,MANU,FITZCARRALD,BOCA MANU
madre de dios,2250327,"INSTALACION DE LOS SERVICIOS EDUCATIVOS EN LA I.E.I. Nß 396 ? UPIS ANTONIA CAYA DE LA LOCALIDAD DE PLANCHON, DISTRITO LAS PIEDRAS, PROVINCIA DE TAMBOPATA, REGION MADRE DE DIOS",EDUCACI‡N,EDUCACI‡N BµSICA,EDUCACI‡N INICIAL,EDUCACION,"SERVICIO DE EDUCACI‡N INICIAL
                                
                                
                                    PORCENTAJE DE UNIDADES PRODUCTORAS CON EL SERVICIO DE EDUCACI‡N INICIAL CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    LOCAL EDUCATIVO
                                
                                
                                    DISTRITAL
                                
                                
                                    1",OPMI DE LA MUNICIPALIDAD DISTRITAL DE LAS PIEDRAS,UF MUNICIPALIDAD DISTRITAL DE LAS PIEDRAS (UFPIEDRAS - ELVIS HURNET PASCACIO VALLE),"UEI DE LA MUNICIPALIDAD DISTRITAL DE LAS PIEDRAS - (UEI MDLP - ELVIS HURNET PASCACIO VALLE)
                                - UEI GOBIERNO REGIONAL MADRE DE DIOS-SEDE CENTRAL (UEIGRIGORE - ROLANDO PERCY HUARCAYA CARAZAS)",875 - CTAR MADRE DE DIOS - SEDE CENTRAL,-12.2737384783280410 / -69.15293887395023,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,PLANCHON
madre de dios,2251311,"INSTALACION DE SERVICIOS EDUCATIVOS DE NIVEL INICIAL DE LA I.E. N 307 EN EL CENTRO POBLADO DE PUERTO PARDO, DISTRITO DE TAMBOPATA, PROVINCIA DE TAMBOPATA, REGION DE MADRE DE DIOS",EDUCACI‡N,EDUCACI‡N BµSICA,EDUCACI‡N INICIAL,EDUCACION,"SERVICIO DE EDUCACI‡N INICIAL
                                
                                
                                    PORCENTAJE DE UNIDADES PRODUCTORAS CON EL SERVICIO DE EDUCACI‡N INICIAL CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    LOCAL EDUCATIVO
                                
                                
                                    DISTRITAL
                                
                                
                                    1",OPMI DEL GOBIERNO REGIONAL MADRE DE DIOS,DIRECCI‡N REGIONAL DE EDUCACION (UFDREGOREMAD - SANDRA LILIANA QUECA•O MAYO),UEI  GOBIERNO REGIONAL MADRE DE DIOS-SEDE CENTRAL - (UEIGRIGOREMD - JUAN FELIPE RODRIGUEZ PASCO),875 - CTAR MADRE DE DIOS - SEDE CENTRAL,-12.5044747539159140 / -68.65907880600292,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,PUERTO PARDO
madre de dios,2261461,"MEJORAMIENTO DE LA CAPACIDAD DE ATENCION DEL PUESTO DE SALUD  BELGICA CATEGORIA I-1 DEL DISTRITO DE I•APARI, PROVINCIA DEL TAHUAMANU - DEPARTAMENTO DE MADRE DE DIOS, EN EL MARCO DE LA ESTRATEGIA SANITARIA NACIONAL DE SALUD DE LOS PUEBLOS IND÷GENAS",SALUD,SALUD INDIVIDUAL,ATENCI‡N MêDICA BµSICA,SALUD,"SERVICIO DE ATENCI‡N DE SALUD BµSICOS
                                
                                
                                    PORCENTAJE DE ESTABLECIMIENTOS DE SALUD DEL PRIMER NIVEL DE ATENCI‡N CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    ESTABLECIMIENTO DE SALUD
                                
                                
                                    DISTRITAL
                                
                                
                                    1",OPMI DEL GOBIERNO REGIONAL MADRE DE DIOS,DIRECCION REGIONAL DE SALUD DE MADRE DE DIOS (UFDIRESAMD - SIMON PEDRO HORNA ALPACA),DIRECCI‡N REGIONAL DE SALUD-DIRESA - (UEIDIRESAMDD - RICARDO RONALD TELLO ACOSTA),879 - REGION MADRE DE DIOS-SALUD,-10.9440359999999260 / -69.57744803999998,MADRE DE DIOS,TAHUAMANU,I•APARI,BELGICA
madre de dios,2261600,"MEJORAMIENTO DE LA CAPACIDAD DE ATENCION DE LOS PUESTOS DE SALUD  PALOTOA Y SHINTUYA CATEGORIA I-1 DEL DISTRITO  MANU, PROVINCIA DEL MANU - DEPARTAMENTO DE MADRE DE DIOS, EN EL MARCO DE LA ESTRATEGIA SANITARIA NACIONAL DE SALUD DE LOS PUEBLOS IND÷GENAS",SALUD,SALUD INDIVIDUAL,ATENCI‡N MêDICA BµSICA,SALUD,"SERVICIO DE ATENCI‡N DE SALUD BµSICOS
                                
                                
                                    PORCENTAJE DE ESTABLECIMIENTOS DE SALUD DEL PRIMER NIVEL DE ATENCI‡N CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    ESTABLECIMIENTO DE SALUD
                                
                                
                                    DISTRITAL
                                
                                
                                    1",OPMI DEL GOBIERNO REGIONAL MADRE DE DIOS,DIRECCION REGIONAL DE SALUD DE MADRE DE DIOS (UFDIRESAMD - SIMON PEDRO HORNA ALPACA),DIRECCI‡N REGIONAL DE SALUD-DIRESA - (UEIDIRESAMDD - RICARDO RONALD TELLO ACOSTA),879 - REGION MADRE DE DIOS-SALUD,-12.2710128299999610 / -70.93302767999995,MADRE DE DIOS,MANU,MANU,LLACTAPAMPA (PALOTOA)
madre de dios,2261635,"MEJORAMIENTO DE LA CAPACIDAD DE ATENCION DE LOS PUESTOS DE SALUD  SAN JOSE DE KARENE Y  PUERTO LUZ CATEGORIA I-1 DEL DISTRITO  DE MADRE DE DIOS, PROVINCIA DEL MANU - DEPARTAMENTO DE MADRE DE DIOS, EN EL MARCO DE LA ESTRATEGIA SANITARIA NACIONAL DE SALUD DE LOS PUEBLOS IND÷GENAS",SALUD,SALUD INDIVIDUAL,ATENCI‡N MêDICA BµSICA,SALUD,"SERVICIO DE ATENCI‡N DE SALUD BµSICOS
                                
                                
                                    PORCENTAJE DE ESTABLECIMIENTOS DE SALUD DEL PRIMER NIVEL DE ATENCI‡N CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    ESTABLECIMIENTO DE SALUD
                                
                                
                                    DISTRITAL
                                
                                
                                    1",OPMI DEL GOBIERNO REGIONAL MADRE DE DIOS,DIRECCION REGIONAL DE SALUD DE MADRE DE DIOS (UFDIRESAMD - SIMON PEDRO HORNA ALPACA),DIRECCI‡N REGIONAL DE SALUD-DIRESA - (UEIDIRESAMDD - RICARDO RONALD TELLO ACOSTA),879 - REGION MADRE DE DIOS-SALUD,-12.6161718299999280 / -70.38968003999997,MADRE DE DIOS,MANU,MADRE DE DIOS,SAN JOSE DE KARENE
madre de dios,2261680,"MEJORAMIENTO DE LA CAPACIDAD DE ATENCION DE LOS PUESTOS DE SALUD  AMARAKAERI Y VUELTA GRANDE CATEGORIA I-1 DEL DISTRITO  LABERINTO, PROVINCIA DE TAMBOPATA - DEPARTAMENTO DE MADRE DE DIOS, EN EL MARCO DE LA ESTRATEGIA SANITARIA NACIONAL DE SALUD DE LOS PUEBLOS IND÷GENAS",SALUD,SALUD INDIVIDUAL,ATENCI‡N MêDICA BµSICA,SALUD,"SERVICIO DE ATENCI‡N DE SALUD BµSICOS
                                
                                
                                    PORCENTAJE DE ESTABLECIMIENTOS DE SALUD DEL PRIMER NIVEL DE ATENCI‡N CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    ESTABLECIMIENTO DE SALUD
                                
                                
                                    DISTRITAL
                                
                                
                                    1",OPMI DEL GOBIERNO REGIONAL MADRE DE DIOS,DIRECCION REGIONAL DE SALUD DE MADRE DE DIOS (UFDIRESAMD - SIMON PEDRO HORNA ALPACA),DIRECCI‡N REGIONAL DE SALUD-DIRESA - (UEIDIRESAMDD - RICARDO RONALD TELLO ACOSTA),879 - REGION MADRE DE DIOS-SALUD,-12.7170557099999540 / -69.58743983999994,MADRE DE DIOS,TAMBOPATA,LABERINTO,SHIRIN GAYOC VUELTA GRANDE
madre de dios,2266390,"MEJORAMIENTO Y AMPLIACI‡N DEL SERVICIO DE EDUCACI‡N INICIAL EN LA I.E.I. N263 DIVINO NI•O JESUS, LA PASTORA, DISTRITO Y PROVINCIA DE TAMBOPATA - REGI‡N MADRE DE DIOS",EDUCACI‡N,EDUCACI‡N BµSICA,EDUCACI‡N INICIAL,EDUCACION,"SERVICIO DE EDUCACI‡N INICIAL
                                
                                
                                    PORCENTAJE DE UNIDADES PRODUCTORAS CON EL SERVICIO DE EDUCACI‡N INICIAL CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    LOCAL EDUCATIVO
                                
                                
                                    DISTRITAL
                                
                                
                                    1",OPMI DEL GOBIERNO REGIONAL MADRE DE DIOS,AREA FUNCIONAL DE ESTUDIOS Y PROYECTOS - SEDE CENTRAL GOREMAD (AFEP2020 - GUERRERO CARLA TERESA DEL CASTILLO),UEI  GOBIERNO REGIONAL MADRE DE DIOS-SEDE CENTRAL - (UEIGRIGOREMD - JUAN FELIPE RODRIGUEZ PASCO),875 - CTAR MADRE DE DIOS - SEDE CENTRAL,-12.59675880 / -69.184906,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,LA PASTORA
madre de dios,2272235,"MEJORAMIENTO DE LA PRESTACION DE SERVICIOS DE SALUD EN LOS ESTABLECIMIENTOS DE SALUD DE LA MICRO RED NUEVO MILENIO - DIRESA MADRE DE DIOS,  DISTRITO DE TAMBOPATA - PROVINCIA DE TAMBOPATA - DEPARTAMENTO DE MADRE DE DIOS",SALUD,SALUD INDIVIDUAL,ATENCI‡N MêDICA BµSICA,SALUD,"SERVICIO DE ATENCI‡N DE SALUD BµSICOS
                                
                                
                                    PORCENTAJE DE ESTABLECIMIENTOS DE SALUD DEL PRIMER NIVEL DE ATENCI‡N CON CAPACIDAD INSTALADA INADECUADA
                                
                                
                                    ESTABLECIMIENTO DE SALUD
                                
                                
                                    DISTRITAL
                                
                                
                                    6",OPMI DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,UF DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA (UFMPTAFEP - ROBERT ALBERTO NISHIDA HERCULANO),"UEI DE LA MUNICIPALIDAD PROVINCIAL DE TAMBOPATA - (UEIMPTAMB23 - JUAN CARLOS BAZAURI CHINCHAY)
                                -  ( - )",301471 - MUNICIPALIDAD PROVINCIAL DE TAMBOPATA,-12.5967591899999420 / -69.18490295999999,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,
madre de dios,2283364,"RECUPERACION Y AMPLIACION DE LOS SERVICIOS EDUCATIVOS DE LA I.E. INICIAL NRO 271 MAZUKO, DISTRITO DE INAMBARI - TAMBOPATA - MADRE DE DIOS",EDUCACI‡N,EDUCACI‡N BµSICA,EDUCACI‡N INICIAL,EDUCACION,"SERVICIO DE EDUCACI‡N INICIAL
                                
                                
                                    PORCENTAJE DE PERSONAS NO MATRICULADAS EN EL NIVEL INICIAL RESPECTO A LA DEMANDA POTENCIAL
                                
                                
                                    ALUMNO/A•O
                                
                                
                                    DISTRITAL
                                
                                
                                    20",OPMI DE LA MUNICIPALIDAD DISTRITAL DE INAMBARI,UF DE LA MUNICIPALIDAD DISTRITAL DE INAMBARI (MDI2019 - KATHERINE SANCHEZ VILCA),UEI DE LA MUNICIPALIDAD DISTRITAL DE INAMBARI - (UEIMDINA010 - JOSE LUIS VILCANQUI CHURA),301472 - MUNICIPALIDAD DISTRITAL DE INAMBARI,-13.09994176281390 / -70.36868155631010,MADRE DE DIOS,TAMBOPATA,INAMBARI,
